Riviere,Truite,Vairon,Ombre,Gardon,Perche,Sandre,Chevaine,Brochet,Lotte,Carpe,Silure,Année,
Bossons,9,0,0,0,0,0,0,0,0,0,0,2022
Bottentrot,2,0,0,0,0,0,0,0,0,0,0,2020
Bottentrot,3,0,0,0,0,0,0,0,0,0,0,2021
Bottentrot,,,,,,,,,,,,2022
Botterel,32,0,0,0,0,0,0,0,0,0,0,2020
Botterel,8,0,0,0,0,0,0,0,0,0,0,2021
Botterel,10,0,0,0,0,0,0,0,0,0,0,2022
Botterex,1,0,0,0,0,0,0,0,0,0,0,2020
Botterex,2,0,0,0,0,0,0,0,0,0,0,2021
Botterex,7,0,0,0,0,0,0,0,0,0,0,2022
Boveire,7,0,0,0,0,0,0,0,0,0,0,2020
Boveire,14,0,0,0,0,0,0,0,0,0,0,2021
Boveire,50,0,0,0,0,0,0,0,0,0,0,2022
Brassu,2,0,0,0,0,0,0,0,0,0,0,2020
Brassu,1,0,0,0,0,0,0,0,0,0,0,2021
Brassu,,,,,,,,,,,,2022
Brassus,6,0,0,2,0,0,0,0,0,0,0,2020
Brassus,5,0,0,0,0,0,0,0,0,0,0,2021
Brassus,5,0,0,0,0,0,0,0,0,0,0,2022
Braye,20,0,0,0,1,0,2,0,0,0,0,2020
Braye,23,0,0,0,0,0,0,0,0,0,0,2021
Braye,8,0,0,0,0,0,0,0,0,0,0,2022
Bressonne,169,0,0,2,0,0,0,0,0,0,0,2020
Bressonne,149,0,0,0,0,0,0,0,0,0,0,2021
Bressonne,78,0,0,0,0,0,0,0,0,0,0,2022
Brie,1,0,0,0,0,0,0,0,0,0,0,2020
Brie,,,,,,,,,,,,2021
Brie,,,,,,,,,,,,2022
Brine,12,0,0,0,0,0,0,0,0,0,0,2020
Brine,5,0,0,0,0,0,0,0,0,0,0,2021
Brine,5,0,0,0,0,0,0,0,0,0,0,2022
Brison,44,0,0,0,0,0,0,0,0,0,0,2020
Brison,27,0,0,0,0,0,0,0,0,0,0,2021
Brison,60,0,0,0,0,0,0,0,0,0,0,2022
Broye,1'103,359,0,363,49,1,8,0,0,0,132,2020
Broye,863,645,0,0,111,4,65,5,0,0,57,2021
Broye,630,224,0,0,611,21,2,21,0,0,0,2022
Broye de Vuillerens,18,0,0,0,0,0,0,0,0,0,6,2020
Broye de Vuillerens,15,0,0,0,0,0,0,0,0,0,0,2021
Broye de Vuillerens,16,0,0,0,0,0,0,0,0,0,0,2022
Buron,196,0,0,0,0,0,0,0,0,0,0,2020
Buron,113,0,0,0,0,0,0,0,0,0,0,2021
Buron,47,0,0,0,0,0,0,0,0,0,0,2022
Canal de Crans,22,0,0,0,0,0,0,0,0,0,0,2020
Canal de Crans,21,0,0,0,0,0,0,0,0,0,0,2021
Canal de Crans,16,0,0,0,0,0,0,0,0,0,0,2022
Canal de la Broye,3,0,0,47,0,0,2,0,0,0,0,2020
Canal de la Broye,0,0,0,0,291,0,8,0,0,0,14,2021
Canal de la Broye,0,0,0,0,236,0,0,11,0,0,0,2022
